seq,count
1580,21
1581,29
1582,19
1583,33
1584,33
1585,21
1586,19
1587,23
1588,19
1589,41
1590,19
1591,25
1592,33
1593,23
1594,19
1595,29
1596,67
1597,19
1598,21
1599,27
1600,19
1601,47
1602,27
1603,35
1604,37
1605,35
1606,27
1607,29
1608,21
1609,21
1610,19
1611,21
1612,29
1613,45
1614,19
1615,27
1616,19
1617,25
1618,25
1619,21
1620,21
1621,25
1622,21
1623,41
1624,25
1625,21
1626,33
1627,23
1628,29
1629,19
1630,19
1631,23
1632,21
1633,37
1634,37
1635,21
1636,25
1637,21
1638,29
1639,25
1640,55
1641,21
1642,19
1643,21
1644,23
1645,21
1646,19
1647,25
1648,19
1649,23
1650,43
1651,38
1652,25
1653,19
1654,23
1655,39
1656,19
1657,51
1658,21
1659,29
1660,37
1661,21
1662,19
1663,27
1664,21
1665,37
1666,21
1667,46
1668,23
1669,38
1670,19
1671,39
1672,37
1673,39
1674,19
1675,19
1676,25
1677,19
1678,19
1679,25
1680,19
1681,29
1682,23
1683,25
1684,21
1685,27
1686,19
1687,23
1688,25
1689,21
1690,19
1691,19
1692,19
1693,25
1694,43
1695,79
1696,29
1697,19
1698,51
1699,25
1700,23
1701,29
1702,19
1703,19
1704,29
1705,41
1706,23
1707,21
1708,19
1709,81
1710,19
1711,19
1712,19
1713,21
1714,23
1715,31
1716,49
1717,29
1718,19
1719,19
1720,21
1721,29
1722,27
1723,21
1724,21
1725,35
1726,25
1727,19
1728,19
1729,19
1730,33
1731,25
1732,19
1733,29
1734,23
1735,25
1736,29
1737,31
1738,29
1739,21
1740,25
1741,23
1742,23
1743,19
1744,29
1745,35
1746,47
1747,21
1748,19
1749,29
1750,29
1751,25
1752,23
1753,19
1754,19
1755,27
1756,25
1757,23
1758,59
1759,19
1760,21
1761,19
1762,19
1763,23
1764,29
1765,45
1766,23
1767,19
1768,21
1769,23
1770,25
1771,19
1772,19
1773,23
1774,31
1775,27
1776,19
1777,21
1778,25
1779,27
1780,27
1781,23
1782,27
1783,27
1784,25
1785,29
1786,27
1787,35
1788,25
1789,29
1790,23
1791,19
1792,21
1793,23
1794,19
1795,21
1796,21
1797,25
1798,31
1799,25
1800,37
1801,19
1802,43
1803,33
1804,59
1805,21
1806,35
1807,27
1808,23
1809,27
1810,31
1811,21
1812,37
1813,21
1814,21
1815,19
1816,55
1817,21
1818,25
1819,21
1820,109
1821,19
1822,21
1823,23
1824,41
1825,21
1826,37
1827,19
1828,23
1829,35
1830,27
1831,25
1832,19
1833,23
1834,19
1835,23
1836,37
1837,19
1838,35
1839,33
1840,21
1841,19
1842,19
1843,19
1844,25
1845,23
1846,38
1847,19
1848,51
1849,19
1850,19
1851,23
1852,19
1853,23
1854,21
1855,19
1856,21
1857,19
1858,27
1859,71
1860,23
1861,21
1862,19
1863,29
1864,29
1865,23
1866,27
1867,19
1868,45
1869,39
1870,19
1871,19
1872,21
1873,25
1874,25
1875,21
1876,37
1877,21
1878,19
1879,19
1880,19
1881,21
1882,23
1883,29
1884,41
1885,27
1886,25
1887,21
1888,35
1889,19
1890,41
1891,23
1892,35
1893,31
1894,19
1895,19
1896,25
1897,27
1898,19
1899,19
1900,111
1901,21
1902,21
1903,23
1904,27
1905,27
1906,19
1907,42
1908,19
1909,27
1910,42
1911,25
1912,31
1913,25
1914,25
1915,19
1916,19
1917,23
1918,27
1919,25
1920,21
1921,19
1922,19
1923,95
1924,57
1925,67
1926,21
1927,25
1928,33
1929,21
1930,25
1931,21
1932,39
1933,27
1934,49
1935,23
1936,19
1937,21
1938,31
1939,19
1940,41
1941,25
1942,23
1943,19
1944,35
1945,21
1946,19
1947,23
1948,39
1949,19
1950,27
1951,19
1952,37
1953,21
1954,25
1955,19
1956,29
1957,29
1958,25
1959,23
1960,27
1961,21
1962,19
1963,21
1964,21
1965,29
1966,21
1967,141
1968,19
1969,19
1970,19
1971,25
1972,25
1973,33
1974,19
1975,19
1976,19
1977,27
1978,19
1979,19
1980,21
1981,21
1982,21
1983,91
1984,21
1985,21
1986,23
1987,27
1988,21
1989,21
1990,19
1991,45
1992,23
1993,19
1994,29
1995,35
1996,29
1997,19
1998,31
1999,19
2000,23
2001,21
2002,19
2003,23
2004,33
2005,21
2006,25
2007,21
2008,29
2009,19
2010,19
2011,21
2012,19
2013,25
2014,27
2015,19
2016,23
2017,21
2018,21
2019,21
2020,25
2021,19
2022,21
2023,21
2024,23
2025,25
2026,27
2027,23
2028,21
2029,27
2030,21
2031,47
2032,29
2033,21
2034,29
2035,25
2036,21
2037,25
2038,25
2039,19
2040,19
2041,33
2042,19
2043,19
2044,35
2045,19
2046,19
